TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


20:27:13.588 "" SYSTEM_INFO START_LOGGING - - - "-"
20:27:17.166 "" WORD_PROCESSOR_CHANGE Untitled_-_Windows_Media_Encoder  -  - QwertyTeste ""
20:27:24.072 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
20:27:24.416 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
20:27:24.416 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
20:27:25.338 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste ""
20:27:25.463 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste ""
20:27:25.463 "E" CHAR_E CHAR  -  - QwertyTeste ""
20:27:26.197 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "E"
20:27:26.197 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "E"
20:27:27.057 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 286.593 QwertyTeste "E"
20:27:27.057 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "E"
20:27:27.057 "s" CHAR_s CHAR  -  - QwertyTeste "E"
20:27:27.525 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_t 5.0.6 536.546 QwertyTeste "Es"
20:27:27.525 "" KEY_DOWN_T AUTO_KEY  -  - QwertyTeste "Es"
20:27:27.525 "t" CHAR_t CHAR  -  - QwertyTeste "Es"
20:27:27.791 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "Est"
20:27:27.791 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Est"
20:27:27.791 "e" CHAR_e CHAR  -  - QwertyTeste "Est"
20:27:29.619 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "Este"
20:27:29.635 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Este"
20:27:29.635 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Este"
20:27:29.635 "" NEW_WORD WORD_Este  -  - QwertyTeste "Este "
20:27:36.197 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_l 6.0.10 860.593 QwertyTeste "Este "
20:27:36.197 "" KEY_DOWN_L AUTO_KEY  -  - QwertyTeste "Este "
20:27:36.197 "l" CHAR_l CHAR  -  - QwertyTeste "Este "
