TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


14:34:25.203 "" SYSTEM_INFO START_LOGGING - - - "-"
14:34:28.281 "" WORD_PROCESSOR_CHANGE Untitled_-_Windows_Media_Encoder  -  - QwertyTeste ""
14:34:40.406 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
14:34:46.250 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
14:34:46.250 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
14:34:47.656 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 622.640 QwertyTeste ""
14:34:47.656 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste ""
14:34:47.656 "N" CHAR_N CHAR  -  - QwertyTeste ""
14:34:48.859 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "N"
14:34:48.859 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "N"
14:34:49.765 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "N"
14:34:49.765 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "N"
14:34:49.765 "o" CHAR_o CHAR  -  - QwertyTeste "N"
14:34:51.218 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "No"
14:34:51.218 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "No"
14:34:51.218 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "No"
14:34:51.218 "" NEW_WORD WORD_No  -  - QwertyTeste "No "
14:34:54.125 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "No "
14:34:54.265 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No "
14:34:54.265 "o" CHAR_o CHAR  -  - QwertyTeste "No "
14:34:55.031 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 286.593 QwertyTeste "No o"
14:34:55.031 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No o"
14:34:55.031 "s" CHAR_s CHAR  -  - QwertyTeste "No o"
14:34:55.234 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 286.593 QwertyTeste "No os"
14:34:55.234 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No os"
14:34:55.234 "s" CHAR_s CHAR  -  - QwertyTeste "No os"
14:34:56.203 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "No oss"
14:34:56.375 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No oss"
14:34:56.375 "o" CHAR_o CHAR  -  - QwertyTeste "No oss"
14:34:58.953 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_. 7.0.10 867.640 QwertyTeste "No osso"
14:34:58.953 "" KEY_DOWN_. AUTO_KEY  -  - QwertyTeste "No osso"
14:34:58.953 "." CHAR_. CHAR  -  - QwertyTeste "No osso"
14:34:58.953 "" NEW_WORD WORD_osso  -  - QwertyTeste "No osso."
14:34:58.953 "" NEW_SENTENCE SENTENCE_No_osso.  -  - QwertyTeste "No osso."
14:35:00.156 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Enter 5.0.1 110.546 QwertyTeste "No osso."
14:35:00.156 "" KEY_DOWN_ENTER AUTO_KEY  -  - QwertyTeste "No osso."
14:35:00.156 "\n" CHAR_ENTER CHAR  -  - QwertyTeste "No osso."
14:35:02.921 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_h 6.0.7 614.593 QwertyTeste ""
14:35:02.921 "" KEY_DOWN_H AUTO_KEY  -  - QwertyTeste ""
14:35:02.921 "h" CHAR_h CHAR  -  - QwertyTeste ""
14:35:04.968 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_BkSp 6.0.1 111.593 QwertyTeste "h"
14:35:05.281 "" KEY_DOWN_BACKSPACE AUTO_KEY  -  - QwertyTeste "h"
14:35:05.281 "\b" CHAR_RETROCESSO CHAR  -  - QwertyTeste "h"
14:35:06.281 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
14:35:06.281 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
