TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


20:10:25.000 "" SYSTEM_INFO START_LOGGING - - - "-"
20:10:30.812 "" WORD_PROCESSOR_CHANGE Untitled_-_Windows_Media_Encoder  -  - QwertyTeste ""
20:10:34.937 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
20:10:35.640 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 131.691 QwertyTeste ""
20:10:35.640 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
20:10:42.968 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 652.644 QwertyTeste ""
20:10:42.968 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste ""
20:10:42.968 "N" CHAR_N CHAR  -  - QwertyTeste ""
20:10:43.953 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 131.691 QwertyTeste "N"
20:10:43.953 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "N"
20:10:44.812 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 889.550 QwertyTeste "N"
20:10:44.937 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "N"
20:10:44.937 "o" CHAR_o CHAR  -  - QwertyTeste "N"
20:10:45.828 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 141.503 QwertyTeste "No"
20:10:45.828 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "No"
20:10:45.828 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "No"
20:10:45.828 "" NEW_WORD WORD_No  -  - QwertyTeste "No "
20:10:47.000 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 889.550 QwertyTeste "No "
20:10:47.000 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No "
20:10:47.000 "o" CHAR_o CHAR  -  - QwertyTeste "No "
20:10:47.937 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 316.597 QwertyTeste "No o"
20:10:47.937 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No o"
20:10:47.937 "s" CHAR_s CHAR  -  - QwertyTeste "No o"
20:10:48.031 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 316.597 QwertyTeste "No os"
20:10:48.359 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No os"
20:10:48.359 "s" CHAR_s CHAR  -  - QwertyTeste "No os"
20:10:49.062 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 889.550 QwertyTeste "No oss"
20:10:49.062 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No oss"
20:10:49.062 "o" CHAR_o CHAR  -  - QwertyTeste "No oss"
20:10:50.218 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_. 7.0.10 897.644 QwertyTeste "No osso"
20:10:50.234 "" KEY_DOWN_. AUTO_KEY  -  - QwertyTeste "No osso"
20:10:50.234 "." CHAR_. CHAR  -  - QwertyTeste "No osso"
20:10:50.234 "" NEW_WORD WORD_osso  -  - QwertyTeste "No osso."
20:10:50.234 "" NEW_SENTENCE SENTENCE_No_osso.  -  - QwertyTeste "No osso."
