TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


11:53:33.531 "" SYSTEM_INFO START_LOGGING - - - "-"
11:53:37.172 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
11:53:43.172 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
11:53:43.172 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
11:53:43.891 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste ""
11:53:43.891 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste ""
11:53:43.891 "A" CHAR_A CHAR  -  - QwertyTeste ""
11:53:44.578 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "A"
11:53:44.578 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "A"
11:53:45.297 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A"
11:53:45.297 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A"
11:53:45.297 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A"
11:53:45.297 "" NEW_WORD WORD_A  -  - QwertyTeste "A "
11:53:46.156 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_m 7.0.8 708.640 QwertyTeste "A "
11:53:46.172 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "A "
11:53:46.172 "m" CHAR_m CHAR  -  - QwertyTeste "A "
11:53:46.891 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_i 5.0.9 780.546 QwertyTeste "A m"
11:53:46.891 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "A m"
11:53:46.891 "i" CHAR_i CHAR  -  - QwertyTeste "A m"
11:53:47.594 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 622.640 QwertyTeste "A mi"
11:53:47.594 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste "A mi"
11:53:47.594 "n" CHAR_n CHAR  -  - QwertyTeste "A mi"
11:53:48.000 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_h 6.0.7 614.593 QwertyTeste "A min"
11:53:48.063 "" KEY_DOWN_H AUTO_KEY  -  - QwertyTeste "A min"
11:53:48.063 "h" CHAR_h CHAR  -  - QwertyTeste "A min"
11:53:49.031 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste "A minh"
11:53:49.031 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "A minh"
11:53:49.031 "a" CHAR_a CHAR  -  - QwertyTeste "A minh"
11:53:51.250 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha"
11:53:51.250 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha"
11:53:51.250 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha"
11:53:51.250 "" NEW_WORD WORD_minha  -  - QwertyTeste "A minha "
11:53:53.281 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_m 7.0.8 708.640 QwertyTeste "A minha "
11:53:53.281 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "A minha "
11:53:53.281 "m" CHAR_m CHAR  -  - QwertyTeste "A minha "
11:53:54.547 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_~ 8.0.9 557.687 QwertyTeste "A minha m"
11:53:54.547 "" KEY_DOWN_TIL AUTO_KEY  -  - QwertyTeste "A minha m"
11:53:55.156 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste "A minha m"
11:53:55.375 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "A minha m"
11:53:55.375 "ã" CHAR_ã CHAR  -  - QwertyTeste "A minha m"
11:53:55.797 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "A minha mã"
11:53:55.828 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "A minha mã"
11:53:55.828 "e" CHAR_e CHAR  -  - QwertyTeste "A minha mã"
11:53:57.172 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe"
11:53:57.172 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe"
11:53:57.172 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe"
11:53:57.188 "" NEW_WORD WORD_mãe  -  - QwertyTeste "A minha mãe "
11:53:58.594 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_p 5.0.11 942.546 QwertyTeste "A minha mãe "
11:53:58.594 "" KEY_DOWN_P AUTO_KEY  -  - QwertyTeste "A minha mãe "
11:53:58.594 "p" CHAR_p CHAR  -  - QwertyTeste "A minha mãe "
11:53:58.985 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_i 5.0.9 780.546 QwertyTeste "A minha mãe p"
11:53:58.985 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "A minha mãe p"
11:53:58.985 "i" CHAR_i CHAR  -  - QwertyTeste "A minha mãe p"
11:54:01.313 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_BkSp 6.0.1 111.593 QwertyTeste "A minha mãe pi"
11:54:01.313 "" KEY_DOWN_BACKSPACE AUTO_KEY  -  - QwertyTeste "A minha mãe pi"
11:54:01.313 "\b" CHAR_RETROCESSO CHAR  -  - QwertyTeste "A minha mãe pi"
11:54:01.813 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "A minha mãe p"
11:54:01.813 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "A minha mãe p"
11:54:01.813 "o" CHAR_o CHAR  -  - QwertyTeste "A minha mãe p"
11:54:02.750 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 286.593 QwertyTeste "A minha mãe po"
11:54:02.922 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "A minha mãe po"
11:54:02.922 "s" CHAR_s CHAR  -  - QwertyTeste "A minha mãe po"
11:54:06.578 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_BkSp 6.0.1 111.593 QwertyTeste "A minha mãe pos"
11:54:06.578 "" KEY_DOWN_BACKSPACE AUTO_KEY  -  - QwertyTeste "A minha mãe pos"
11:54:06.578 "\b" CHAR_RETROCESSO CHAR  -  - QwertyTeste "A minha mãe pos"
11:54:07.250 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_d 6.0.4 368.593 QwertyTeste "A minha mãe po"
11:54:07.250 "" KEY_DOWN_D AUTO_KEY  -  - QwertyTeste "A minha mãe po"
11:54:07.250 "d" CHAR_d CHAR  -  - QwertyTeste "A minha mãe po"
11:54:07.938 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "A minha mãe pod"
11:54:07.953 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "A minha mãe pod"
11:54:07.953 "e" CHAR_e CHAR  -  - QwertyTeste "A minha mãe pod"
11:54:10.485 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode"
11:54:10.485 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode"
11:54:10.485 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode"
11:54:10.485 "" NEW_WORD WORD_pode  -  - QwertyTeste "A minha mãe pode "
11:54:11.891 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_i 5.0.9 780.546 QwertyTeste "A minha mãe pode "
11:54:12.047 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "A minha mãe pode "
11:54:12.047 "i" CHAR_i CHAR  -  - QwertyTeste "A minha mãe pode "
11:54:12.719 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_r 5.0.5 454.546 QwertyTeste "A minha mãe pode i"
11:54:12.766 "" KEY_DOWN_R AUTO_KEY  -  - QwertyTeste "A minha mãe pode i"
11:54:12.766 "r" CHAR_r CHAR  -  - QwertyTeste "A minha mãe pode i"
11:54:14.406 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode ir"
11:54:14.594 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir"
11:54:14.594 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode ir"
11:54:14.594 "" NEW_WORD WORD_ir  -  - QwertyTeste "A minha mãe pode ir "
11:54:15.266 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_u 5.0.8 700.546 QwertyTeste "A minha mãe pode ir "
11:54:15.281 "" KEY_DOWN_U AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir "
11:54:15.281 "u" CHAR_u CHAR  -  - QwertyTeste "A minha mãe pode ir "
11:54:15.781 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_m 7.0.8 708.640 QwertyTeste "A minha mãe pode ir u"
11:54:15.781 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir u"
11:54:15.781 "m" CHAR_m CHAR  -  - QwertyTeste "A minha mãe pode ir u"
11:54:16.656 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste "A minha mãe pode ir um"
11:54:16.688 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir um"
11:54:16.688 "a" CHAR_a CHAR  -  - QwertyTeste "A minha mãe pode ir um"
11:54:19.156 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode ir uma"
11:54:19.156 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma"
11:54:19.156 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode ir uma"
11:54:19.156 "" NEW_WORD WORD_uma  -  - QwertyTeste "A minha mãe pode ir uma "
11:54:19.860 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "A minha mãe pode ir uma "
11:54:19.875 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma "
11:54:19.875 "o" CHAR_o CHAR  -  - QwertyTeste "A minha mãe pode ir uma "
11:54:20.344 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_u 5.0.8 700.546 QwertyTeste "A minha mãe pode ir uma o"
11:54:20.547 "" KEY_DOWN_U AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma o"
11:54:20.547 "u" CHAR_u CHAR  -  - QwertyTeste "A minha mãe pode ir uma o"
11:54:22.828 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode ir uma ou"
11:54:22.828 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma ou"
11:54:22.828 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode ir uma ou"
11:54:22.828 "" NEW_WORD WORD_ou  -  - QwertyTeste "A minha mãe pode ir uma ou "
11:54:24.438 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_2 4.0.3 286.499 QwertyTeste "A minha mãe pode ir uma ou "
11:54:24.438 "" KEY_DOWN_2 AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma ou "
11:54:24.438 "2" CHAR_2 CHAR  -  - QwertyTeste "A minha mãe pode ir uma ou "
11:54:24.688 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A minha mãe pode ir uma ou 2"
11:54:24.703 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha mãe pode ir uma ou 2"
11:54:24.703 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha mãe pode ir uma ou 2"
11:54:24.703 "" NEW_WORD WORD_2  -  - QwertyTeste "A minha mãe pode ir uma ou 2 "
