TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


17:17:07.362 "" SYSTEM_INFO START_LOGGING - - - "-"
17:17:10.487 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
17:17:16.675 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
17:17:16.675 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
17:17:17.925 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 622.640 QwertyTeste ""
17:17:18.003 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste ""
17:17:18.003 "N" CHAR_N CHAR  -  - QwertyTeste ""
17:17:18.909 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "N"
17:17:18.909 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "N"
17:17:19.971 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "N"
17:17:20.112 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "N"
17:17:20.112 "o" CHAR_o CHAR  -  - QwertyTeste "N"
17:17:20.925 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "No"
17:17:21.050 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "No"
17:17:21.050 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "No"
17:17:21.050 "" NEW_WORD WORD_No  -  - QwertyTeste "No "
17:17:21.925 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "No "
17:17:21.971 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No "
17:17:21.971 "o" CHAR_o CHAR  -  - QwertyTeste "No "
17:17:23.393 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 286.593 QwertyTeste "No o"
17:17:23.534 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No o"
17:17:23.534 "s" CHAR_s CHAR  -  - QwertyTeste "No o"
17:17:23.909 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 286.593 QwertyTeste "No os"
17:17:24.003 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No os"
17:17:24.003 "s" CHAR_s CHAR  -  - QwertyTeste "No os"
17:17:24.925 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "No oss"
17:17:24.925 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No oss"
17:17:24.925 "o" CHAR_o CHAR  -  - QwertyTeste "No oss"
