TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


19:33:19.578 "" SYSTEM_INFO START_LOGGING - - - "-"
19:33:33.218 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
19:33:47.671 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
19:33:47.671 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
19:33:48.546 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_t 5.0.6 536.546 QwertyTeste ""
19:33:48.546 "" KEY_DOWN_T AUTO_KEY  -  - QwertyTeste ""
19:33:48.546 "T" CHAR_T CHAR  -  - QwertyTeste ""
19:33:50.156 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "T"
19:33:50.156 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "T"
19:33:51.687 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "T"
19:33:51.687 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "T"
19:33:51.687 "e" CHAR_e CHAR  -  - QwertyTeste "T"
19:33:52.640 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 622.640 QwertyTeste "Te"
19:33:52.640 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste "Te"
19:33:52.640 "n" CHAR_n CHAR  -  - QwertyTeste "Te"
19:33:54.468 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_d 6.0.4 368.593 QwertyTeste "Ten"
19:33:54.468 "" KEY_DOWN_D AUTO_KEY  -  - QwertyTeste "Ten"
19:33:54.468 "d" CHAR_d CHAR  -  - QwertyTeste "Ten"
19:33:55.781 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "Tend"
19:33:55.781 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "Tend"
19:33:55.781 "o" CHAR_o CHAR  -  - QwertyTeste "Tend"
19:33:58.921 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "Tendo"
19:33:58.937 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo"
19:33:58.937 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo"
19:33:58.937 "" NEW_WORD WORD_Tendo  -  - QwertyTeste "Tendo "
19:34:00.734 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "Tendo "
19:34:00.734 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Tendo "
19:34:00.734 "e" CHAR_e CHAR  -  - QwertyTeste "Tendo "
19:34:01.578 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_u 5.0.8 700.546 QwertyTeste "Tendo e"
19:34:01.578 "" KEY_DOWN_U AUTO_KEY  -  - QwertyTeste "Tendo e"
19:34:01.578 "u" CHAR_u CHAR  -  - QwertyTeste "Tendo e"
19:34:02.453 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "Tendo eu"
19:34:02.515 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo eu"
19:34:02.515 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo eu"
19:34:02.515 "" NEW_WORD WORD_eu  -  - QwertyTeste "Tendo eu "
19:34:06.828 "" LEFT_MOUSE_DOWN_KEY PREDICTED_SENTENCE_SELECTION_0_Tendo_eu_repetido_na_primária_2_anos. 2.0.1 290.290 QwertyTeste "Tendo eu "
19:34:07.093 "" KEY_DOWN_R AUTO_KEY  -  - QwertyTeste "Tendo eu "
19:34:07.093 "r" CHAR_r CHAR  -  - QwertyTeste "Tendo eu "
19:34:07.093 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Tendo eu r"
19:34:07.093 "e" CHAR_e CHAR  -  - QwertyTeste "Tendo eu r"
19:34:07.093 "" KEY_DOWN_P AUTO_KEY  -  - QwertyTeste "Tendo eu re"
19:34:07.093 "p" CHAR_p CHAR  -  - QwertyTeste "Tendo eu re"
19:34:07.093 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Tendo eu rep"
19:34:07.093 "e" CHAR_e CHAR  -  - QwertyTeste "Tendo eu rep"
19:34:07.093 "" KEY_DOWN_T AUTO_KEY  -  - QwertyTeste "Tendo eu repe"
19:34:07.093 "t" CHAR_t CHAR  -  - QwertyTeste "Tendo eu repe"
19:34:07.093 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "Tendo eu repet"
19:34:07.093 "i" CHAR_i CHAR  -  - QwertyTeste "Tendo eu repet"
19:34:07.093 "" KEY_DOWN_D AUTO_KEY  -  - QwertyTeste "Tendo eu repeti"
19:34:07.093 "d" CHAR_d CHAR  -  - QwertyTeste "Tendo eu repeti"
19:34:07.093 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "Tendo eu repetid"
19:34:07.093 "o" CHAR_o CHAR  -  - QwertyTeste "Tendo eu repetid"
19:34:07.140 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo eu repetido"
19:34:07.140 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo eu repetido"
19:34:07.140 "" NEW_WORD WORD_repetido  -  - QwertyTeste "Tendo eu repetido "
19:34:07.140 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste "Tendo eu repetido "
19:34:07.140 "n" CHAR_n CHAR  -  - QwertyTeste "Tendo eu repetido "
19:34:07.140 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "Tendo eu repetido n"
19:34:07.140 "a" CHAR_a CHAR  -  - QwertyTeste "Tendo eu repetido n"
19:34:07.140 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na"
19:34:07.140 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo eu repetido na"
19:34:07.140 "" NEW_WORD WORD_na  -  - QwertyTeste "Tendo eu repetido na "
19:34:07.140 "" KEY_DOWN_P AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na "
19:34:07.140 "p" CHAR_p CHAR  -  - QwertyTeste "Tendo eu repetido na "
19:34:07.140 "" KEY_DOWN_R AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na p"
19:34:07.140 "r" CHAR_r CHAR  -  - QwertyTeste "Tendo eu repetido na p"
19:34:07.140 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na pr"
19:34:07.140 "i" CHAR_i CHAR  -  - QwertyTeste "Tendo eu repetido na pr"
19:34:07.140 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na pri"
19:34:07.140 "m" CHAR_m CHAR  -  - QwertyTeste "Tendo eu repetido na pri"
19:34:07.203 "" KEY_DOWN_AGUDO AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na prim"
19:34:07.484 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na prim"
19:34:07.484 "á" CHAR_á CHAR  -  - QwertyTeste "Tendo eu repetido na prim"
19:34:07.484 "" KEY_DOWN_R AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na primá"
19:34:07.484 "r" CHAR_r CHAR  -  - QwertyTeste "Tendo eu repetido na primá"
19:34:07.531 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na primár"
19:34:07.531 "i" CHAR_i CHAR  -  - QwertyTeste "Tendo eu repetido na primár"
19:34:07.531 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na primári"
19:34:07.531 "a" CHAR_a CHAR  -  - QwertyTeste "Tendo eu repetido na primári"
19:34:07.531 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo eu repetido na primária"
19:34:07.531 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo eu repetido na primária"
19:34:07.531 "" NEW_WORD WORD_primária  -  - QwertyTeste "Tendo eu repetido na primária "
