TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


14:47:26.703 "" SYSTEM_INFO START_LOGGING - - - "-"
14:47:39.203 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
14:47:52.906 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
14:47:52.906 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
14:47:53.921 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_t 5.0.6 536.546 QwertyTeste ""
14:47:53.921 "" KEY_DOWN_T AUTO_KEY  -  - QwertyTeste ""
14:47:53.921 "T" CHAR_T CHAR  -  - QwertyTeste ""
14:47:55.234 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "T"
14:47:55.234 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "T"
14:47:56.562 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste "T"
14:47:56.656 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "T"
14:47:56.671 "e" CHAR_e CHAR  -  - QwertyTeste "T"
14:47:58.015 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 622.640 QwertyTeste "Te"
14:47:58.015 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste "Te"
14:47:58.015 "n" CHAR_n CHAR  -  - QwertyTeste "Te"
14:47:58.718 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_d 6.0.4 368.593 QwertyTeste "Ten"
14:47:58.718 "" KEY_DOWN_D AUTO_KEY  -  - QwertyTeste "Ten"
14:47:58.718 "d" CHAR_d CHAR  -  - QwertyTeste "Ten"
14:48:00.796 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "Tend"
14:48:00.796 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "Tend"
14:48:00.796 "o" CHAR_o CHAR  -  - QwertyTeste "Tend"
14:48:05.890 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "Tendo"
14:48:05.890 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Tendo"
14:48:05.890 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Tendo"
14:48:05.890 "" NEW_WORD WORD_Tendo  -  - QwertyTeste "Tendo "
