TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


14:53:47.984 "" SYSTEM_INFO START_LOGGING - - - "-"
14:53:51.546 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
14:54:05.812 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
14:54:05.812 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
14:54:06.734 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 622.640 QwertyTeste ""
14:54:06.734 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste ""
14:54:06.734 "N" CHAR_N CHAR  -  - QwertyTeste ""
14:54:08.218 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "N"
14:54:08.218 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "N"
14:54:09.109 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "N"
14:54:09.234 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "N"
14:54:09.234 "o" CHAR_o CHAR  -  - QwertyTeste "N"
14:54:15.390 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "No"
14:54:15.484 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "No"
14:54:15.484 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "No"
14:54:15.484 "" NEW_WORD WORD_No  -  - QwertyTeste "No "
14:54:18.546 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "No "
14:54:18.593 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No "
14:54:18.593 "o" CHAR_o CHAR  -  - QwertyTeste "No "
14:54:19.515 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 286.593 QwertyTeste "No o"
14:54:19.515 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No o"
14:54:19.515 "s" CHAR_s CHAR  -  - QwertyTeste "No o"
14:54:19.671 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_s 6.0.3 286.593 QwertyTeste "No os"
