TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


14:39:15.953 "" SYSTEM_INFO START_LOGGING - - - "-"
14:39:19.078 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
14:39:24.953 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
14:39:24.953 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
14:39:25.640 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_e 5.0.4 372.546 QwertyTeste ""
14:39:25.687 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste ""
14:39:25.687 "E" CHAR_E CHAR  -  - QwertyTeste ""
14:39:29.437 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "E"
14:39:29.437 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "E"
14:39:30.765 "" LEFT_MOUSE_DOWN_KEY PREDICTED_WORD_SELECTION_5_este 1.0.2 405.204 QwertyTeste "E"
14:39:30.765 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "E"
14:39:30.765 "s" CHAR_s CHAR  -  - QwertyTeste "E"
14:39:30.765 "" KEY_DOWN_T AUTO_KEY  -  - QwertyTeste "Es"
14:39:30.765 "t" CHAR_t CHAR  -  - QwertyTeste "Es"
14:39:30.765 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Est"
14:39:30.781 "e" CHAR_e CHAR  -  - QwertyTeste "Est"
14:39:30.781 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Este"
14:39:30.781 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Este"
14:39:30.781 "" NEW_WORD WORD_Este  -  - QwertyTeste "Este "
14:39:33.343 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_l 6.0.10 860.593 QwertyTeste "Este "
14:39:33.343 "" KEY_DOWN_L AUTO_KEY  -  - QwertyTeste "Este "
14:39:33.343 "l" CHAR_l CHAR  -  - QwertyTeste "Este "
14:39:35.062 "" LEFT_MOUSE_DOWN_KEY PREDICTED_WORD_SELECTION_0_lar 0.0.1 174.157 QwertyTeste "Este l"
14:39:35.062 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "Este l"
14:39:35.062 "a" CHAR_a CHAR  -  - QwertyTeste "Este l"
14:39:35.062 "" KEY_DOWN_R AUTO_KEY  -  - QwertyTeste "Este la"
14:39:35.062 "r" CHAR_r CHAR  -  - QwertyTeste "Este la"
14:39:35.078 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Este lar"
14:39:35.078 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Este lar"
14:39:35.078 "" NEW_WORD WORD_lar  -  - QwertyTeste "Este lar "
14:39:40.796 "" LEFT_MOUSE_DOWN_KEY PREDICTED_WORD_SELECTION_6_em 1.0.3 636.204 QwertyTeste "Este lar "
14:39:40.796 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Este lar "
14:39:40.796 "e" CHAR_e CHAR  -  - QwertyTeste "Este lar "
14:39:40.796 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "Este lar e"
14:39:40.796 "m" CHAR_m CHAR  -  - QwertyTeste "Este lar e"
14:39:40.796 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Este lar em"
14:39:40.796 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Este lar em"
14:39:40.796 "" NEW_WORD WORD_em  -  - QwertyTeste "Este lar em "
14:39:45.671 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_f 6.0.5 449.593 QwertyTeste "Este lar em "
14:39:45.671 "" KEY_DOWN_F AUTO_KEY  -  - QwertyTeste "Este lar em "
14:39:45.671 "f" CHAR_f CHAR  -  - QwertyTeste "Este lar em "
14:39:48.609 "" LEFT_MOUSE_DOWN_KEY PREDICTED_WORD_SELECTION_0_fase 0.0.1 174.157 QwertyTeste "Este lar em f"
14:39:48.859 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "Este lar em f"
14:39:48.859 "a" CHAR_a CHAR  -  - QwertyTeste "Este lar em f"
14:39:48.859 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "Este lar em fa"
14:39:48.859 "s" CHAR_s CHAR  -  - QwertyTeste "Este lar em fa"
14:39:48.859 "" KEY_DOWN_E AUTO_KEY  -  - QwertyTeste "Este lar em fas"
14:39:48.859 "e" CHAR_e CHAR  -  - QwertyTeste "Este lar em fas"
14:39:48.859 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "Este lar em fase"
14:39:48.859 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "Este lar em fase"
14:39:48.859 "" NEW_WORD WORD_fase  -  - QwertyTeste "Este lar em fase "
14:39:53.093 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_p 5.0.11 942.546 QwertyTeste "Este lar em fase "
14:39:53.109 "" KEY_DOWN_P AUTO_KEY  -  - QwertyTeste "Este lar em fase "
14:39:53.109 "p" CHAR_p CHAR  -  - QwertyTeste "Este lar em fase "
14:39:54.437 "" LEFT_MOUSE_DOWN_KEY PREDICTED_WORD_SELECTION_0_pouco 0.0.1 174.157 QwertyTeste "Este lar em fase p"
14:39:54.468 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "Este lar em fase p"
14:39:54.468 "o" CHAR_o CHAR  -  - QwertyTeste "Este lar em fase p"
14:39:54.468 "" KEY_DOWN_U AUTO_KEY  -  - QwertyTeste "Este lar em fase po"
