TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


19:21:29.838 "" SYSTEM_INFO START_LOGGING - - - "-"
19:21:32.666 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
19:21:38.525 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
19:21:38.525 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
19:21:39.494 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_n 7.0.7 622.640 QwertyTeste ""
19:21:39.494 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste ""
19:21:39.494 "N" CHAR_N CHAR  -  - QwertyTeste ""
19:21:40.978 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "N"
19:21:40.994 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "N"
19:21:42.775 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "N"
19:21:42.775 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "N"
19:21:42.775 "o" CHAR_o CHAR  -  - QwertyTeste "N"
19:21:45.650 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "No"
19:21:45.650 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "No"
19:21:45.650 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "No"
19:21:45.650 "" NEW_WORD WORD_No  -  - QwertyTeste "No "
19:21:48.916 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_o 5.0.10 859.546 QwertyTeste "No "
19:21:48.916 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No "
19:21:48.916 "o" CHAR_o CHAR  -  - QwertyTeste "No "
19:21:52.213 "" LEFT_MOUSE_DOWN_KEY PREDICTED_WORD_SELECTION_1_osso 0.0.2 405.157 QwertyTeste "No o"
19:21:52.228 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No o"
19:21:52.228 "s" CHAR_s CHAR  -  - QwertyTeste "No o"
19:21:52.228 "" KEY_DOWN_S AUTO_KEY  -  - QwertyTeste "No os"
19:21:52.228 "s" CHAR_s CHAR  -  - QwertyTeste "No os"
19:21:52.244 "" KEY_DOWN_O AUTO_KEY  -  - QwertyTeste "No oss"
19:21:52.244 "o" CHAR_o CHAR  -  - QwertyTeste "No oss"
19:21:52.244 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "No osso"
19:21:52.244 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "No osso"
19:21:52.244 "" NEW_WORD WORD_osso  -  - QwertyTeste "No osso "
19:21:54.963 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_. 7.0.10 867.640 QwertyTeste "No osso "
19:21:55.057 "" KEY_DOWN_. AUTO_KEY  -  - QwertyTeste "No osso "
19:21:55.057 "." CHAR_. CHAR  -  - QwertyTeste "No osso "
19:21:55.057 "" NEW_SENTENCE SENTENCE_No_osso_.  -  - QwertyTeste "No osso ."
19:21:57.463 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "No osso ."
19:21:57.463 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "No osso ."
19:21:57.463 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "No osso ."
19:22:02.135 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
19:22:02.135 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
19:22:03.010 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_h 6.0.7 614.593 QwertyTeste ""
