TIME Time when the event occurred
OUTPUT Text output caused by the event
EVENT The event
TYPE Type of the element or operation connected to the event
ELEMENT Screen element where the event occurred
CENTER Screen coordinates of the element center where the event occurred
PAGE Communication board where the event occurred
CONTEXT Message content before de event
$$$ End Header


15:06:30.968 "" SYSTEM_INFO START_LOGGING - - - "-"
15:06:34.609 "" WORD_PROCESSOR_CHANGE Untitled_-_Windows_Media_Encoder  -  - QwertyTeste ""
15:06:47.656 "" WORD_PROCESSOR_CHANGE INTERNAL_WORD_PROCESSOR  -  - QwertyTeste ""
15:07:03.828 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
15:07:03.828 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
15:07:04.312 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste ""
15:07:04.312 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste ""
15:07:04.312 "a" CHAR_a CHAR  -  - QwertyTeste ""
15:07:06.828 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_BkSp 6.0.1 111.593 QwertyTeste "a"
15:07:06.828 "" KEY_DOWN_BACKSPACE AUTO_KEY  -  - QwertyTeste "a"
15:07:06.828 "\b" CHAR_RETROCESSO CHAR  -  - QwertyTeste "a"
15:07:07.406 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste ""
15:07:07.406 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste ""
15:07:08.578 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_a 6.0.2 204.593 QwertyTeste ""
15:07:08.750 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste ""
15:07:08.750 "A" CHAR_A CHAR  -  - QwertyTeste ""
15:07:09.562 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_CapsLock 8.0.1 101.687 QwertyTeste "A"
15:07:09.562 "" KEY_DOWN_CAPSLOCK AUTO_KEY  -  - QwertyTeste "A"
15:07:10.796 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_m 7.0.8 708.640 QwertyTeste "A"
15:07:10.828 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "A"
15:07:10.828 "m" CHAR_m CHAR  -  - QwertyTeste "A"
15:07:11.765 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_i 5.0.9 780.546 QwertyTeste "Am"
15:07:11.765 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "Am"
15:07:11.765 "i" CHAR_i CHAR  -  - QwertyTeste "Am"
15:07:14.281 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_BkSp 6.0.1 111.593 QwertyTeste "Ami"
15:07:14.531 "" KEY_DOWN_BACKSPACE AUTO_KEY  -  - QwertyTeste "Ami"
15:07:14.531 "\b" CHAR_RETROCESSO CHAR  -  - QwertyTeste "Ami"
15:07:14.531 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_BkSp 6.0.1 111.593 QwertyTeste "Am"
15:07:14.531 "" KEY_DOWN_BACKSPACE AUTO_KEY  -  - QwertyTeste "Am"
15:07:14.531 "\b" CHAR_RETROCESSO CHAR  -  - QwertyTeste "Am"
15:07:16.203 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_Space 4.0.1 111.499 QwertyTeste "A"
15:07:16.203 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A"
15:07:16.203 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A"
15:07:17.046 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_m 7.0.8 708.640 QwertyTeste "A "
15:07:17.140 "" KEY_DOWN_M AUTO_KEY  -  - QwertyTeste "A "
15:07:17.140 "m" CHAR_m CHAR  -  - QwertyTeste "A "
15:07:17.640 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_i 5.0.9 780.546 QwertyTeste "A m"
15:07:17.812 "" KEY_DOWN_I AUTO_KEY  -  - QwertyTeste "A m"
15:07:17.812 "i" CHAR_i CHAR  -  - QwertyTeste "A m"
15:07:20.734 "" LEFT_MOUSE_DOWN_KEY PREDICTED_WORD_SELECTION_0_minha 0.0.1 174.157 QwertyTeste "A mi"
15:07:20.890 "" KEY_DOWN_N AUTO_KEY  -  - QwertyTeste "A mi"
15:07:20.890 "n" CHAR_n CHAR  -  - QwertyTeste "A mi"
15:07:20.890 "" KEY_DOWN_H AUTO_KEY  -  - QwertyTeste "A min"
15:07:20.890 "h" CHAR_h CHAR  -  - QwertyTeste "A min"
15:07:20.890 "" KEY_DOWN_A AUTO_KEY  -  - QwertyTeste "A minh"
15:07:20.890 "a" CHAR_a CHAR  -  - QwertyTeste "A minh"
15:07:20.890 "" KEY_DOWN_BARRA_DE_ESPAÇOS AUTO_KEY  -  - QwertyTeste "A minha"
15:07:20.890 " " CHAR_ESPAÇO CHAR  -  - QwertyTeste "A minha"
15:07:20.890 "" NEW_WORD WORD_minha  -  - QwertyTeste "A minha "
15:07:22.687 "" LEFT_MOUSE_DOWN_KEY TEXT_KEY_SELECTION_m 7.0.8 708.640 QwertyTeste "A minha "
